,WeekDay,Director,Genre,MovieTitle,ReleaseDate,Studio,AdjustedGrossMillions,BudgetMillions,GrossMillions,IMDbRating,MovieLensRating,OverseasMillions,OverseasPercent,ProfitMillions,ProfitPercent,RuntimeMins,USMillions,GrossPercentUS
244,Thursday,Todd Phillips,comedy,The Hangover Part III,23/05/2013,WB,369.5,103.0,362,5.9,2.93,249.8,69.0,259,251.5,100,112.2,31.0
245,Friday,David Fincher,drama,Gone Girl,3/10/2014,Fox,369.8,61.0,368.1,6.7,3.43,200.3,54.4,307.1,503.4,149,167.8,45.6
246,Friday,Doug Liman,action,Edge of Tomorrow,6/06/2014,WB,370.9,178.0,369.2,7.9,3.85,269,72.9,191.2,107.4,113,100.2,27.1
247,Friday,Genndy Tartakovsky,animation,Hotel Transylvania,28/09/2012,Sony,371.2,85.0,358.4,7.1,3.38,210.1,58.6,273.4,321.7,91,148.3,41.4
249,Friday,Bryan Singer,action,X-Men: First Class,3/06/2011,Fox,373.8,200.0,353.6,7.8,3.84,207.2,58.6,153.6,76.8,131,146.4,41.4
250,Sunday,"Ron Clements, John Musker",animation,Hercules,15/06/1997,Buena Vista Studios,374.4,70.0,252.7,6.1,2.9,153.6,60.8,182.7,261.0,92,99.1,39.2
252,Wednesday,"Simon J. Smith, Eric Darnell",animation,Penguins of Madagascar,26/11/2014,Fox,375.3,132.0,373.6,6.8,3.3,290.2,77.7,241.6,183.0,92,83.4,22.3
253,Friday,Timur Bekmambetov,action,Wanted,27/06/2008,Universal,377.1,75.0,341.4,6.7,3.51,206.9,60.6,266.4,355.2,110,134.5,39.4
254,Friday,Stephen Sommers,action,Van Helsing,7/05/2004,Universal,378,170.0,300.3,6.0,2.8,180.1,60.0,130.3,76.7,131,120.2,40.0
257,Friday,Mark Dindal,animation,Chicken Little,4/11/2005,Buena Vista Studios,382.8,60.0,314.4,5.8,2.91,179,56.9,254.4,424.0,81,135.4,43.1
258,Wednesday,Jon M. Chu,action,G.I. Joe: Retaliation,27/03/2013,Paramount Pictures,383.5,130.0,375.7,5.8,2.75,253.2,67.4,245.7,189.0,110,122.5,32.6
260,Friday,Peter Weir,drama,The Truman Show,5/06/1998,Paramount Pictures,385.3,60.0,264.1,5.5,2.81,138.5,52.4,204.1,340.2,103,125.6,47.6
261,Friday,David Frankel,comedy,The Devil Wears Prada,30/06/2006,Fox,385.3,35.0,326.6,6.8,3.41,201.8,61.8,291.6,833.1,109,124.7,38.2
262,Friday,James B. Rogers,comedy,American Pie 2,10/08/2001,Universal,386.2,30.0,287.6,6.4,2.98,142.5,49.5,257.6,858.7,108,145.1,50.5
263,Wednesday,Robert Zemeckis,animation,The Polar Express,10/11/2004,WB,387.1,170.0,307.5,6.6,3.16,124.1,40.4,137.5,80.9,100,183.4,59.6
264,Friday,Olivier Megaton,action,Taken 2,5/10/2012,Fox,389.6,45.0,376.1,6.3,3.17,236.3,62.8,331.1,735.8,92,139.9,37.2
265,Wednesday,Kevin Lima,comedy,Enchanted,21/11/2007,Buena Vista Studios,390.6,85.0,340.5,7.2,3.6,212.7,62.5,255.5,300.6,107,127.8,37.5
266,Friday,Luc Besson,action,The Fifth Element,9/05/1997,Sony,391,95.0,263.9,7.6,3.71,200.1,75.8,168.9,177.8,126,63.8,24.2
267,Friday,Harald Zwart,action,The Karate Kid,11/06/2010,Sony,391.6,40.0,359.1,7.2,3.2,182.5,50.8,319.1,797.8,140,176.6,49.2
268,Friday,Joe Johnston,action,Captain America: The First Avenger,22/07/2011,Paramount Pictures,391.8,140.0,370.6,6.8,3.56,193.9,52.3,230.6,164.7,124,176.7,47.7
270,Friday,Emile Ardolino,comedy,Sister Act,29/05/1992,Buena Vista Studios,392.6,31.0,231.6,6.2,2.97,92,39.7,200.6,647.1,100,139.6,60.3
272,Wednesday,Steven Spielberg,animation,The Adventures of Tintin,21/12/2011,Paramount Pictures,395.4,130.0,374,7.4,3.58,296.4,79.3,244,187.7,107,77.6,20.7
